artist,song,link,text
Natalie Imbruglia,WYUT,/n/natalie+imbruglia/wyut_20873150.html,"Back track, listen, stop that  
Before everything is lost again  
You lied, oh why  
Stand back, give is slack  
You don't know where my head is at  
You're in too deep, don't try  
  
I don't want, I don't want what you up to  
I don't need, I don't need what you up to  
Better step down, better turn around, no  
Better row out, here's a bow now move  
I don't want, I don't want what you up to no  
  
You grab never give back  
And think I don't think through that  
I do, I'm onto you  
Too far, pushin' your luck  
Get out, it's the end of the line  
For you and now you're mine  
  
I don't want, I don't want what you up to  
I don't need, I don't need what you up to  
Better step down, better turn around, go  
Better row out, here's a bow now move  
I don't want, I don't want what you up to no  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to  
  
Stand back, give it slack  
You don't know where my head is at  
I do, I'm onto you  
  
I don't want, I don't want what you up to  
I don't need, I don't need what you up to  
Better step down, better turn around, go  
Better row out, here's a bow now move  
I don't want, I don't want what you up to  
I don't want, I don't want what you up to

"
Nazareth,1692,/n/nazareth/1692_10190228.html,"(copyright nazareth, tiflis tunes,inc.-ascap)  
  
  
Mist upon the hill can remember murder,  
Mist upon the hill that once flowed with blood,  
Helped to cover up an approaching army,  
Hid the killing lust in the eyes of men.  
  
Sitting by the fire was a sentry sleeping,  
Rolled up in their beds were children that play,  
Unsuspecting what was to fall upon them,  
None of them would see the dawn next day.  
  
Bloody were the blades that fell on children,  
Hate the blinding light tried to kill a name,  
The mountains only know all the souls that died there,  
Glen coe from that day can recall the shame.  
  
The quiet of the night never gave them warning,  
The silence of the hills wouldn't let them know,  
They'd never rise again on a mist filled morning,  
Never see the sunrise above glen coe.

"
Nazareth,A Veteran's Song,/n/nazareth/a+veterans+song_20098441.html,"The bars are crowded with wasted youth  
You just went, you didn't know the truth  
You don't know that kid when you look back  
You remember the music, paint it black  
  
You had a brother in the movement and he burned his card  
He's got a job in the white house, ain't life hard  
You came back a hero on a stolen horse  
You say you don't fit in, you can't stay the course  
  
I may be right, don't care if I'm wrong  
It's a veteran's song  
I may be right, don't care if I'm wrong  
It's a veteran's song  
  
The band paraded playing ""Oh gung ho""""  
Your country needs you, you've got to go  
When you came over they said ""Soldier go back""  
When you came home they put you on the rack  
  
Between agent orange and the jungle and fear  
You're just surviving to get out of here  
You smoke some more herb and you keep your head down  
Could be your number is on the next round.

"
Nazareth,Ain't Got You,/n/nazareth/aint+got+you_20098636.html,"I got a maseratti two by two  
With snakeskin upholstery  
Charge account at goldblatz  
But I aint got you  
I got a closet full of clothes  
And no matter where I goes  
You keeps a ring in my nose  
But I aint got you  
I got a tavern, a liquor store  
I play the numbers, 444  
I got mojo don't you know  
Im all dressed up with no place to go  
I got women to the right of me  
I got women to the left of me  
I got women all around me  
But I aint got you, no I aint got you  
I got a tavern, and a liquor store  
I play the numbers, 444  
I got mojo don't you know  
But I aint got you  
No, I aint got you  
No, I aint got you  
No, I aint got you

"
Nazareth,All Nite Radio,/n/nazareth/all+nite+radio_20098607.html,"So you've run outa numbers  
And you've run outa lovers  
They won't deliver that pizza  
  
You're hungry under the covers  
You're all alone in the moonlight  
Got to get ready for daylight  
  
All night, all night  
Listening to the all night radio  
  
You could have been sleepin'  
You could have done anythin'  
But everbody's singin'  
Good morin'  
  
All night, all night  
Listening to the all night  
All night radio

"
Nazareth,All The Kings Horses,/n/nazareth/all+the+kings+horses_20098470.html,"I know you  
You always rode so tall in the saddle  
You are the answer  
But I know that you are only causin' trouble  
Take all you want, leave me the rest behind  
You're a user  
A winnin' no new friends, just make one small step  
You're a user  
You never came to anyone's call  
Spent all your life head on the wall  
While you're up there, there's only one way to fall  
  
All the king's horses and all the king's men  
Will never put you together again  
  
You still got your chances  
The one thing the whole world loves is a winner  
You can't walk on water  
With your heat the ice you're on is gettin' thinner  
You used to be so wise  
But you are fooled by your own lies  
And I see right through your disguise  
  
All the king's horses and all the king's men  
Will never put you together again  
All the king's horses and all the king's men  
Will never put you together again

"
Nazareth,Another Year,/n/nazareth/another+year_20098626.html,"So your plane was late  
You missed that date  
And your horse can't win  
So you drink another bottle of gin  
  
And your shares went down  
They touched the ground  
And your best laid plans  
Have slipped right out of your hands  
  
So you think you're fat  
Well that's a fact  
But your well ran dry  
So you had to walk another mile  
  
Think about them, think about them  
Think about those who'll never see another year  
Think about them  
Think about those who never saw  
  
So your car won't start  
Needs a special part  
But you made your choice  
Now you're stuck with all your big boys toys  
  
Now the word's around  
You've gone aground  
And you've lost your wind  
You'll never see your ship come in  
  
Think about them, think about them  
Think about those who'll never see another year  
Think about them  
Think about those who'll never see another year  
  
Mother's, father's  
Sister's, brother's  
Old man, young man  
Whale song, all gone  
Where did we go wrong  
  
Think about those who'll never see another  
Those who'll never see another  
Those who'll never see  
Think about them, think about them.

"
Nazareth,Back To School,/n/nazareth/back+to+school_20098597.html,"You didn't listen when you went to school  
You dressed like a clown and you behaved like a fool  
But now your education is about to begin  
The difference between love and the mess that you're in  
You figured you're cool I'll bend all the rules  
I'll get them going red flags to a bull  
It's not like the movies no duel in the sun  
You need the answer to get your love done  
Now you're going back to school  
Now you're going to learn the rules  
Now you're going back, you're going back  
You're going back to school  
You know the business or so you believe  
You set all your sights but you aim to deceive  
You think you'll hit the target every time that you fire  
You think you know the difference between love and desire  
But someone's waiting to turn you around  
She'll shoot you down and put your feet on the ground  
It's not like dreamin' you can make mistakes  
A lesson learned is not so easy to take  
Now you're going back to school  
Now you're going to learn the rules  
Now you're going back, you're going back  
You're going back to school  
Now you're going back to school  
Now you're going to learn the rules  
Now you're going back, you're going back  
You're going back to school  
You're doin' numbers but you don't keep the score  
They're scratchin' the surface but they don't  
Reach the core  
You only bought the ticket 'cause the price was ""all in""  
You'll never reach the heart until you've broken the skin  
You're busy running but you never relax  
Live now pay later including the tax  
But now your education is about to begin  
Forget about the stories and the places you've been  
Now you're going back to school  
Now you're going to learn the rules  
Now you're going back, you're going back  
You're going back to school  
Back to school back to school

"
Nazareth,Back To The Trenches,/n/nazareth/back+to+the+trenches_20098419.html,"Presidents and peace spreading poets  
Getting gunned down in the streets  
Shown to us on our prime time screens  
For our tea time treat  
Lunatics we voted for denying  
Everything that they swore  
We sit around and shout about it  
But we don't do nothing more  
  
Drafted for police action  
But they decided on a war  
Telling us we were saving mankind  
Why don't you ask Cambodia  
We were solving it with marijuana  
We were sure that we could  
Always leavin' it to someone else  
Just knocking on wood  
  
We're goin' back to the trenches  
We're goin' back to the trenches  
  
Well you say you got a say so  
But you're knowin' that it ain't so  
And you turn away  
You think it's safer to ignore it  
But the score is your children have to pay  
Everybody wants better  
Everybody talkin' 'bout it  
Are we wastin' time  
Gotta stop only lookin', talkin'  
We're all guilty of the crime  
  
We're goin' back to the trenches  
We're goin' back to the trenches  
  
We gotta move, we got everything to lose  
We gotta move, we got everything to lose  
  
We're all headed for the front  
But everybody's fightin' for a good address  
It's time we made the changes  
Or we'll be burnin' with the rest  
We just ain't communicatin' and I don't  
Mean conversations on the telephone  
When Nero starts to fiddle this time  
There's a lot more gonna burn than Rome  
  
we're goin' back to the trenches  
we're goin' back to the trenches  
we're goin' back to the trenches  
we're goin' back to the trenches

"
Nazareth,Backroom Boys,/n/nazareth/backroom+boys_20098608.html,"The backroom boys are playin' real hard  
There's a lot of money rollin' on the next card  
Some are goin' up some are goin' down  
Some'll never make it to the next round  
  
Stone me it don't come free  
You gotta be a winner  
If you want to be a backroom boy  
  
They got--a room full of women  
A table full of booze  
Gettin' meaner with the dealer--'cause he can't lose  
Someone shouts out,""it's a goddamn shame""  
The dealer's gettin' meaner with the cocaine  
  
Stone me it don't come free  
Gotta be a winner  
If you want to be a backroom boy  
Can't stay home get uptown  
Get your ear to the ground  
If you want to be a backroom boy  
  
Up all night, playin' it right  
Backroom boys  
Look in your eye, never say die  
Backroom boys  
  
The backroom boys are all the same  
Even take your money when they play games  
Take you when you're up, kick you when you're down  
You'll always be a loser in their town  
  
Stone me it don't come free  
Gotta be a winner  
If you want to be a backroom boy  
Can't stay home get uptown  
Get your ear to the ground  
If you want to be a backroom boy  
  
Up all night, playin' it right  
Backroom boys  
Look in your eye, never say die  
Backroom boys  
  
The backroom boys are all the same  
Even take your money when they play games  
Take you when you're up, kick you when you're down  
You'll always be a loser in their town  
  
Stone me it don't come free  
Gotta be a winner  
If you want to be a backroom boy  
Can't stay home get uptown  
Get your ear to the ground  
If you want to be a backroom boy  
  
Stone me it don't come free  
Gotta be a winner  
If you want to be a backroom boy  
Can't stay home get uptown  
Get your ear to the ground  
If you want to be a backroom boy

"
